EID,GID,SA,TCH
Balsora_2016,4,14.8581936409411,247.742662335884
Balsora_2016,5,14.2331131606458,273.664418954373
Balsora_2016,8,15.4077422805697,251.711902502365
Balsora_2016,9,14.58111174796,208.910230599277
Balsora_2016,10,16.9270537350061,235.843772001823
Balsora_2016,11,16.3284998274967,203.657436984345
Balsora_2016,12,15.7040430899102,216.455323600354
Balsora_2016,13,16.8012078831844,270.469993522165
Balsora_2016,14,16.6991323862059,262.159527472398
Balsora_2016,15,17.118923981056,252.060654213979
Balsora_2016,16,16.1283585669512,230.977122649824
Balsora_2016,17,15.4200807324991,222.713191377487
Balsora_2016,18,15.6416901469554,259.116136999783
Balsora_2016,19,16.4902779075445,250.218335394672
Balsora_2016,20,16.1524729475457,259.515917069493
Balsora_2016,21,16.6927177044712,203.771547187404
Balsora_2016,22,16.2741940342386,267.734605935219
Balsora_2016,23,15.7839051989816,249.184109356253
Balsora_2016,24,15.1669433325779,177.863579950559
Balsora_2016,25,15.607528329447801,187.282234907108
Balsora_2016,26,15.8717998755355,211.653520926378
Balsora_2016,27,15.7784892869164,217.507828624554
Balsora_2016,28,16.2789528301675,240.895273617485
Balsora_2016,29,14.9602091631943,236.721043813191
Balsora_2016,31,15.5453069941682,238.092929784406
Balsora_2016,32,15.4002840398631,240.702919130831
Balsora_2016,33,15.5564224023721,245.313512596356
Balsora_2016,34,16.3580579427779,237.146899446515
Balsora_2016,35,15.7801377349953,280.31628877632
Balsora_2016,36,16.6283195906616,251.479903528115
Balsora_2016,37,14.6336058404563,218.334992398807
Balsora_2016,38,17.0921065398189,217.076793464256
Balsora_2016,39,17.6960470767609,217.974354093313
Balsora_2016,40,14.4289352633101,233.317419441031
Balsora_2016,41,16.7696109112315,285.695258092669
Balsora_2016,42,14.4096505649293,276.495509945149
Balsora_2016,43,16.248229251128,241.036043569951
Balsora_2016,44,16.3028271434654,230.733723105092
Balsora_2016,45,13.7956493139166,237.786773678614
Balsora_2016,46,15.7326782579604,279.476365306811
Balsora_2016,47,15.6943753105068,270.711165328948
Balsora_2016,48,15.3863167419158,239.900169340136
Balsora_2016,49,16.2982709819246,208.06841430236
Balsora_2016,50,17.2908782340445,228.487980237985
Balsora_2016,51,15.8491474495923,300.017333716266
Balsora_2016,52,15.3780910026042,264.124914453285
Balsora_2016,53,16.5575895948783,264.75293932274
Balsora_2016,54,16.1701539612016,237.941352707961
Balsora_2016,55,16.4413508300079,270.406796919831
Balsora_2016,56,16.7895257846185,241.084859137725
Balsora_2016,57,16.2980020884329,205.147739025724
Balsora_2016,58,17.0672307901985,248.812234224623
Balsora_2016,59,16.6778793484089,200.943542145039
Balsora_2016,60,16.6778770976932,203.593935947404
Balsora_2016,61,15.3928957200483,237.348555663747
Balsora_2016,62,16.6097558605174,277.347166194022
Balsora_2016,63,17.1602832818593,227.794968046974
Balsora_2016,65,16.8820363025302,237.845117795212
Balsora_2016,66,16.4459895745302,239.804471087246
Balsora_2016,67,16.2322041504451,289.866819392736
Balsora_2016,68,15.5235634240694,199.162040170187
Balsora_2016,69,17.3099573674886,214.581420881026
Balsora_2016,70,16.2834609337688,236.185070444735
Balsora_2016,71,15.9461682579513,217.274752948577
Balsora_2016,72,16.5922357867701,234.915719714971
Balsora_2016,73,16.2285571805634,252.83066793821
Balsora_2016,74,17.5295132522065,228.60379912196
Balsora_2016,75,15.8553998639342,220.419221441217
Balsora_2016,76,17.1573219074875,241.408833049016
Balsora_2016,77,15.0354594135597,290.844743835274
Balsora_2016,78,14.7161857396176,219.776693904111
Balsora_2016,79,15.0343295118743,219.937927522924
Balsora_2016,80,13.9026263190862,209.522673642001
Balsora_2016,81,11.4394518274053,233.282156577172
Balsora_2016,82,14.9815902945512,205.831263120435
Balsora_2016,83,15.3160674447255,209.523101846948
Balsora_2016,84,14.4570187378651,196.9235520644
Balsora_2016,85,16.4138124697094,186.401529052685
Balsora_2016,86,15.3290899470929,289.026759344446
Balsora_2016,87,16.3984380698693,194.115594611208
Balsora_2016,88,17.6642684506653,210.547144715044
Balsora_2016,90,13.8463405644883,230.722952641751
Balsora_2016,91,15.0212161057777,256.098676212994
Balsora_2016,92,17.0908862760354,262.90465748451
Balsora_2016,93,14.8757735526285,222.845245641208
Balsora_2016,94,16.7622356640485,214.082034524852
Balsora_2016,95,16.6871756937117,221.752855304495
Balsora_2016,96,15.2055602813273,209.730867017961
Balsora_2016,97,14.7560214392589,256.007969621984
Balsora_2016,98,15.6282550945447,203.349828026211
Balsora_2016,99,17.2108812125589,193.620724025714
Balsora_2016,100,16.254667665501,213.184936560539
Balsora_2016,101,14.3674252744741,218.947128144295
Balsora_2016,102,15.1385944692634,209.123155857373
Balsora_2016,105,8.35294914709168,257.896499558191
Balsora_2016,106,7.00055743011406,259.49546695917
Balsora_2016,107,15.3980563652457,191.710809446165
Balsora_2016,108,13.1153555834381,207.755194068251
